trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
51,0,51,0,103.62062099995092,,103.58116419997532,5,103.62062099995092,103.62062099995092,0.01548569998703897,105.47528179991059,[-0.45666666666666667],[0.4633333333333333],[1],[0],[0],[1.878933300031349],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
52,0,52,0,105.53797419997863,,105.4775639999425,10,105.53797419997863,105.53797419997863,0.03854849992785603,107.57519899995532,[0.005],[-0.32666666666666666],[1],[0],[0],[2.059341299929656],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
53,0,53,0,107.63895779999439,,107.57751869992353,10,107.63895779999439,107.63895779999439,0.03463300003204495,110.66013539989945,[-0.33166666666666667],[0.21833333333333332],[1],[0],[0],[3.0483081999700516],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
54,0,54,0,110.72328149992973,,110.66266159992665,10,110.72328149992973,110.72328149992973,0.03646420000586659,112.67869959992822,[-0.365],[-0.215],[1],[0],[0],[1.9797560999868438],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
55,0,55,0,112.7074112999253,,112.68115329998545,5,112.7074112999253,112.7074112999253,0.0171081000007689,114.0630533999065,[-0.12833333333333333],[0.25166666666666665],[1],[0],[0],[1.3650631000055],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
56,0,56,0,114.10806599992793,,114.06537490000483,5,114.10806599992793,114.10806599992793,0.01455830002669245,115.3628206999274,[0.10333333333333333],[-0.3983333333333333],[1],[0],[0],[1.2830762000521645],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
57,0,57,0,115.39187389996368,,115.36571499996353,5,115.39187389996368,115.39187389996368,0.014910400030203164,116.78050049999729,[0.4033333333333333],[0.2966666666666667],[1],[0],[0],[1.4002351000672206],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
58,0,58,0,116.8427257000003,,116.7841753999237,10,116.8427257000003,116.8427257000003,0.033507299958728254,119.28173849999439,[-0.4816666666666667],[-0.215],[1],[0],[0],[2.4642674999777228],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
59,0,59,0,119.3269844999304,,119.28436009993311,5,119.3269844999304,119.3269844999304,0.02008599997498095,120.4655414998997,[-0.19666666666666666],[0.13833333333333334],[1],[0],[0],[1.1613698999863118],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
60,0,60,0,120.49371249997057,,120.4678491000086,5,120.49371249997057,120.49371249997057,0.016597700072452426,121.76583149994258,[-0.29833333333333334],[-0.0033333333333333335],[1],[0],[0],[1.2816070999251679],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
61,0,61,0,121.81110429996625,,121.76816919993144,5,121.81110429996625,121.81110429996625,0.016557900002226233,123.04992309992667,[-0.3566666666666667],[-0.36],[1],[0],[0],[1.2653528000228107],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
62,0,62,0,123.11126839998178,,123.0525829999242,10,123.11126839998178,123.11126839998178,0.027549799997359514,124.20012900000438,[0.14666666666666667],[-0.18166666666666667],[1],[0],[0],[1.1201467999489978],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
63,0,63,0,124.24530049995519,,124.202793299919,5,124.24530049995519,124.24530049995519,0.016701500047929585,125.36716579995118,[0.14833333333333334],[0.08333333333333333],[1],[0],[0],[1.1479052000213414],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
64,0,64,0,125.39570329990238,,125.36951389990281,5,125.39570329990238,125.39570329990238,0.014811899978667498,127.05067469994538,[-0.15166666666666667],[-0.22166666666666668],[1],[0],[0],[1.6666165000060573],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
65,0,65,0,127.09649329993408,,127.0532173999818,5,127.09649329993408,127.09649329993408,0.020976300002075732,128.61824119999073,[-0.3983333333333333],[-0.21833333333333332],[1],[0],[0],[1.5443307000678033],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
66,0,66,0,128.66393809998408,,128.62080269993749,5,128.66393809998408,128.66393809998408,0.015641600009985268,130.33423289994244,[0.02666666666666667],[0.2966666666666667],[1],[0],[0],[1.698060999973677],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
67,0,67,0,130.36425959994085,,130.336504100007,5,130.36425959994085,130.36425959994085,0.01436999998986721,131.5693942999933,[-0.14],[-0.3433333333333333],[1],[0],[0],[1.2187590000685304],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
